Spanish,English
Yo,I
tú,You
usted,You
ella,She
él,He
nosotros/nosotras,We
ustedes,You all
ellos,They
ellas,They(Females)
hola,Hello
adiós; chao,Good Bye
hasta luego,See you later
hasta mañana,See you tomorrow
¡hasta luego!,See you soon!
¡tenga un buen día!,Have a good day!
buenos días,Good Morning
buenas tardes,Good Afternoon
buenas noches,Good Night
¿cómo está usted?,How are you? (Formal)
¿cómo estás?,How are you? (Informal)
¿qué haces?,What are you doing?
¿qué pasa?,What’s happening?
sí,yes
no,no
¿y tú?,and you?
muy bien,Great; very good
así,so
mal,bad
como siempre,As always
¿entiende(s)?,do you understand?
no entiendo,I don’t understand
no hablo español,I don’t speak Spanish
no (lo) sé,I don’t know
gracias,Thank you
¡de nada!,You’re welcome or No Problem
por favor,Please
¡lo siento!,Sorry
salud,Bless you
¡disculpe!; ¡perdon!,Excuse me!
la madre; la mamá,Mother; Mom
el padre; el papá,Father; Dad
la hermana,Daughter
el hermano,Son
la hija,Sister
el hijo,Brother
el abuelo,Grandfather
la abuela,Grandmother
el nieto,Grandson
la nieta,Granddaughter
el tío,Uncle
la tía,Aunt
el primo,Cousin (Male)
la prima,Cousin (Female)
mis parientes,My relatives
cero,Zero
uno,One
dos,Two
tres,Three
cuatro,Four
cinco,Five
seis,Six
siete,Seven
ocho,Eight
neuve,Nine
diez,Ten
viejo/a,old
joven,young
de mediana edad,middle-aged
juvenil,youthful/ youth
el cumpleaños,Birthday
la boda,Wedding
la fiesta,Party
la navidad,Christmas
la pascua,Easter
Domingo,Sunday
Lunes,Monday
Martes,Tuesday
Miércoles,Wednesday
Jueves,Thursday
Viernes,Friday
Sabado,Saturday
Enero,January
Febrero,February
Marzo,March
Abril,April
Mayo,May
Junio,June
Julio,July
Agosto,August
Septiembre,September
Octubre,October
Noviembre,November
Diciembre,December
hoy,Today
ayer,Yesterday
mañana,Tomorrow
el día,Day
la semana,Week
el mes,Month
el año,Year
la hora,Hour
el minuto,Minute
los segundos,Seconds
mañana,Morning
la tarde,Afternoon
la noche,Night
blanco,white
negro,black
gris,grey
rojo,red
rosado,pink
morado; púrpura,purple
anaranjado,orange
amarillo,yellow
azul,blue
verde,green
marrón; café,brown
la temperatura,The temperature
el pronóstico,The forecast
el clima,The weather
el frío,The cold
el calor,The heat
el sol,The sun
las nubes,The clouds
la lluvia,The rain
la neblina,The mist
la llovizna,The drizzle
la niebla,The fog
la tormenta,The storm
la nieve,The snow
el hielo,The ice
el granizo,The hail
la brisa,The breeze
el viento,The wind
el trueno,The thunder
el rayo,The lightning
la humedad,The humidity
llover,To rain
lloviznar,To drizzle
diluviar,To pour down
granizar,To hail
nevar,To snow
las estaciones,The seasons
el invierno,Winter
la primavera,Spring
el verano,Summer
el otoño,Fall
la cabeza,head
le frente,forehead
la garganta,throat
la barbilla,chin
la lengua,tongue
el cuello,neck
los dientes,teeth
la boca,mouth
los labios,lips
la mejilla; el cachete,cheek
la nariz,nose
las cejas,eyebrows
las pestañas,eyelashes
el pelo,hair
la barba,beard
el bigote,mustache
el hombro,shoulders
la espalda,back
el vientre,stomach
la cintura,waist
el ombligo,belly button
la cadera,hip
el brazo,arm
el codo,elbow
la muñeca,wrist
los dedos,fingers
el pugar,thumb
la pierna,leg
el muslo,thigh
la rodilla,knee
la pantorrilla,calf
las nalgas,buttocks
el pie,foot
el tobillo,ankle
el talón,heel
la piel,skin
el desayuno,breakfast
el almuerzo,lunch
la cena,dinner
el tentempié,snack
gusto,taste
sabor,flavor
probar,try
sabroso,tasty
delicioso,delicious
perfecto,perfect
apetitoso,appetizing
agrio; agria,sour
picante,spicy
salada;,salado	salty
dulce,sweet
dulzón,sugary
soso,bland
cocinar,To cook
la comida,food
las verduras,vegetables
las frutas,fruits
el postre,dessert
las bebidas,drinks
la cerveza,beer
el refresco,soda
el té,tea
el té helado,iced tea
el café,coffee
la leche,milk
el agua,water
el jugo,juice
el batido,milkshake
el vaso,glass
la copa,cup
el tenedor,fork
la cuchara,spoon
el cuchillo,knife
la servilleta,napkin

